id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007N19Rik	17	9	11	7	12	115	16	56	13	118	0	145	3
0610007P14Rik	44	29	49	33	24	159	90	75	42	82	6	88	4
0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	54	24	66	25	16	299	110	80	54	358	20	394	8
0610009D07Rik	136	69	150	62	80	850	261	247	107	530	24	525	21
0610009L18Rik	14	7	6	4	3	27	18	17	14	30	5	28	3
0610009O20Rik	19	19	26	8	14	55	37	37	17	36	2	26	3
0610010B08Rik	0	1	2	0	0	1	1	1	1	0	0	0	1
0610010F05Rik	10	1	2	3	4	38	9	8	7	33	4	36	0
0610010K14Rik	56	51	56	35	42	259	107	218	40	205	17	214	8
0610011F06Rik	58	46	70	33	49	65	90	63	45	82	16	74	9
0610012G03Rik	66	48	73	42	25	336	189	235	92	346	20	372	11
0610012H03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	19	6	13	9	9	16	9	9	9	17	3	18	0
0610031J06Rik	43	34	70	24	47	210	85	178	59	188	19	298	18
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	70	52	71	23	42	211	179	127	87	159	30	185	17
0610038B21Rik	0	0	1	0	1	3	2	4	1	6	1	8	0
0610038L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040B10Rik	3	4	5	4	3	12	2	6	1	18	2	28	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	1	0	1	0	2	0	0	0
0610043K17Rik	1	2	0	0	0	0	0	0	1	0	0	0	0
1100001G20Rik	0	1	2	0	3	0	0	0	1	2	0	4	0
1110001A16Rik	20	27	34	14	12	263	64	110	28	207	11	285	3
1110001J03Rik	210	188	329	116	124	872	475	366	233	456	48	472	22
1110002L01Rik	0	0	0	0	0	2	1	0	0	2	0	3	0
1110004E09Rik	21	14	55	9	24	138	42	32	34	61	7	79	3
1110004F10Rik	129	96	177	101	99	894	313	414	155	521	53	640	26
1110006O24Rik	0	0	0	0	1	2	0	2	0	1	0	1	0
1110007C09Rik	16	5	14	7	6	149	18	176	11	308	3	300	6
1110008F13Rik	0	1	0	0	0	3	2	1	0	2	0	3	0
1110008J03Rik	7	5	9	2	4	35	8	22	2	21	3	30	1
1110008L16Rik	5	3	9	4	4	29	5	16	8	17	3	20	1
1110008P14Rik	38	17	40	23	17	847	64	486	24	683	10	695	11
1110012L19Rik	35	26	38	20	38	189	75	158	45	183	13	281	12
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	0	0	0	1	0	0	0	1	0
1110019D14Rik	5	0	5	0	4	33	8	7	4	20	3	25	1
1110020A21Rik	4	3	4	6	0	12	10	1	1	37	4	28	1
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1110032A03Rik	29	19	21	2	16	32	50	18	23	62	13	58	8
1110032F04Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1110034G24Rik	7	12	18	8	7	11	22	10	18	12	2	12	4
1110035M17Rik	0	0	0	2	0	1	0	2	0	2	0	5	0
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	34	19	43	11	25	133	51	30	27	72	11	105	3
1110038B12Rik	85	35	88	14	54	260	154	137	66	157	41	269	5
1110038F14Rik	66	42	94	39	56	127	197	103	91	158	17	185	21
1110046J04Rik	1	3	2	0	4	17	3	9	0	15	2	16	0
1110051M20Rik	27	11	21	5	15	62	49	62	30	55	9	86	5
1110054M08Rik	18	7	10	5	10	19	21	19	9	21	4	33	0
1110057K04Rik	69	42	67	26	32	489	122	241	41	279	22	341	9
1110058L19Rik	51	21	51	14	29	372	99	191	49	406	14	488	11
1110059E24Rik	35	18	34	16	16	119	69	31	31	101	14	124	4
1110059G10Rik	38	29	42	17	25	64	63	25	35	73	15	88	4
1110059M19Rik	0	0	0	0	0	7	0	10	0	76	0	76	1
1110065P20Rik	13	4	11	8	2	40	21	25	12	35	0	37	2
1190002F15Rik	22	9	16	6	15	275	93	77	15	93	2	145	1
1190002N15Rik	31	7	14	9	18	115	15	17	14	122	3	193	3
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	0	2	1	1	1	5	0	1	0
1190007I07Rik	15	14	25	9	4	64	28	36	9	13	8	33	0
1200011I18Rik	24	7	29	8	10	94	20	49	15	67	7	102	2
1200014J11Rik	34	19	25	14	17	248	39	127	26	209	7	265	2
1300002E11Rik	33	24	22	2	16	45	27	13	17	45	7	44	3
1300002K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1300015D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	1	0	0	0	0	0	0	0	0
1500002O10Rik	0	0	0	0	0	2	0	0	0	2	0	0	0
1500004A13Rik	0	0	0	0	0	0	0	0	0	4	0	1	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	1	1	2	1	0	28	0	7	1	96	0	61	2
1500011B03Rik	4	3	10	4	4	16	4	9	5	20	1	20	0
1500011K16Rik	80	56	120	33	54	259	191	161	103	254	26	273	23
1500012F01Rik	281	115	309	60	159	269	460	114	228	322	79	461	28
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1500015A07Rik	1	3	5	0	3	8	0	1	0	9	0	6	0
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	9	1	7	4	13	1	34	5	5	2	4	8	4
1500016L03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1500017E21Rik	0	0	0	0	0	2	0	0	0	8	0	4	0
1600002D24Rik	0	0	0	0	0	0	0	0	1	0	0	2	0
1600002H07Rik	3	8	5	5	4	20	7	17	10	22	4	23	2
1600002K03Rik	12	9	14	6	11	49	23	43	7	28	5	39	0
1600010M07Rik	0	0	0	0	0	2	0	0	0	1	0	1	0
1600012H06Rik	11	11	15	8	11	69	23	25	10	64	3	65	3
1600014C10Rik	6	3	6	3	2	39	4	24	7	30	5	36	2
1600014C23Rik	0	0	0	0	0	2	0	0	0	1	0	1	0
1600014K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600016N20Rik	0	0	0	0	0	1	0	0	0	10	0	3	0
1600019K03Rik	0	0	0	0	0	1	0	0	0	0	0	2	0
1600020E01Rik	20	15	14	11	10	27	21	5	9	23	3	21	3
1600023N17Rik	0	0	0	0	0	1	0	0	0	0	0	2	0
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029D21Rik	1	0	0	1	0	13	1	3	0	13	0	11	0
1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	10	6	9	3	9	35	7	36	5	49	0	57	0
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	0	1	0	0	0	1	0	0	0
1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	2	0	0	0	0	0	1	2	0	0	0	2	0
1700001G17Rik	0	0	0	0	0	1	1	1	0	0	1	0	0
1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	1	0	0	0	1	0	0	0	0	0	0
1700001K23Rik	0	0	0	0	0	0	1	0	0	0	0	0	0
1700001L05Rik	0	1	1	0	0	1	0	1	0	3	0	4	0
1700001L19Rik	1	1	1	0	1	0	5	1	0	0	1	0	0
1700001O22Rik	1	1	0	2	2	7	6	3	6	8	0	16	1
1700001P01Rik	0	0	0	0	0	1	0	0	0	0	0	1	0
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	1	0	0	0	0	0	1	4	0	1	0
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	1	0	1	8	1	10	0	1	0	5	1
1700003F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	1	0	0	1	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	0	1	0	0	0	1	0	0	0	0	0	1	0
1700003M07Rik	0	1	1	0	3	1	0	1	0	5	2	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	1	0	0	0	0	0	0	0	0	1	0	3	0
1700007J10Rik	1	3	2	4	3	33	4	15	2	14	1	33	0
1700007K09Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1700007K13Rik	1	3	0	0	2	40	0	26	0	34	0	35	0
1700007L15Rik	7	2	4	6	0	19	5	17	3	14	4	30	1
1700007P06Rik	0	0	0	0	0	1	0	0	0	1	0	0	0
1700008A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008I05Rik	0	0	0	0	0	13	0	3	1	38	0	30	0
1700008J07Rik	1	1	5	4	1	3	2	2	1	4	1	1	0
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700009P17Rik	0	0	4	2	1	5	5	3	0	9	0	9	0
1700010B08Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	0	0	0	0	0	6	2	1	0	3	0	9	0
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	3	0	3	0
1700011A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1700011H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	2	0	0	0	5	0	10	0
1700011J10Rik	22	12	19	9	12	45	38	30	23	60	13	65	1
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	1	0	0	1	0	0	1	0
1700012B09Rik	0	0	1	0	0	15	0	21	0	29	1	35	0
1700012B15Rik	5	7	10	4	4	8	12	6	3	4	2	3	0
1700012D01Rik	1	3	2	0	0	12	4	2	1	9	0	8	1
1700012D14Rik	0	0	0	0	0	4	1	0	0	3	0	0	0
1700012I11Rik	0	0	0	0	0	2	0	1	0	1	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	1	0	0	0	2	0	1	0
1700013G23Rik	1	0	0	0	0	3	0	3	3	1	0	3	0
1700013G24Rik	0	0	0	0	0	2	0	0	0	1	0	2	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0	0	3	0	2	0
1700016D06Rik	1	0	0	0	0	3	0	0	1	2	0	5	0
1700016G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700016L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	3	4	5	5	6	20	5	15	5	20	2	29	0
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	1	0	0	0	0	0	0	0	0
1700018L02Rik	0	0	0	0	0	1	0	0	0	0	0	0	1
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	0	1	0	0	0	0	0	0	0	0	0	0	0
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019G17Rik	0	0	0	0	0	0	0	0	1	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019L03Rik	0	0	0	0	0	0	0	1	0	0	0	1	0
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	3	0	1	0	2	0	1	1	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	8	4	5	4	10	32	20	4	4	40	4	42	0
1700020L24Rik	0	0	1	0	1	1	0	0	0	0	0	0	0
1700020M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	1	0	1	0	0	0
1700021F05Rik	64	31	65	27	27	368	123	115	70	218	14	243	3
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	12	6	6	0	8	22	11	24	8	52	2	37	0
1700021N21Rik	0	0	0	0	0	1	0	0	0	0	0	1	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023E05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700023L04Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024F13Rik	0	0	0	0	0	11	0	4	0	1	0	1	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	1	0	0	0	0	1	0	0	0	1	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700025G04Rik	17	7	7	9	10	14	26	9	9	14	7	11	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0	0	0	0	0	1	0	0
1700026D08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026L06Rik	0	0	0	1	0	2	0	0	0	1	0	2	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	1	1	0	0	2	0	0	2	0	1	0	0	0
1700028I16Rik	0	0	0	0	0	1	0	0	1	0	0	0	0
1700028J19Rik	1	0	1	0	0	1	0	1	1	0	0	2	0
1700028K03Rik	0	1	0	1	0	0	0	0	2	1	1	0	0
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	1	0	1	0	1	8	3	0	0	1	0	3	2
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	1	0	0	0	0	0	0	0	0	2	0	1	0
1700029J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	2	5	0	6	0	1	2	1	4	5	3	5	1
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	1	2	2	0	0	8	1	1	1	3	0	2	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	0	0	0	0	0	4	0	0	0	1	0	1	0
1700030K09Rik	8	4	11	4	8	14	17	7	9	14	4	18	2
1700030L20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	1	0	0	0	0
1700034F02Rik	0	0	1	0	0	1	0	0	0	1	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	0	1	1	1	0	1	1	0	1	0	1	0	0
1700034I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	2	0	2	0	0	5	4	6	3	3	0	11	0
1700037H04Rik	19	16	23	10	9	187	48	144	19	96	7	141	0
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	0	0	0	0	0	1	0	0	0	1	0	1	0
1700040N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	1	0	1	0	1	0	1	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047E10Rik	1	2	2	1	0	41	3	30	5	26	1	40	1
1700047G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	4	1	4	2	2	67	5	57	4	75	1	99	1
1700047L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700048M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048O20Rik	3	1	2	2	2	41	4	0	0	14	1	13	0
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049G17Rik	1	1	1	0	1	4	2	0	0	4	2	6	0
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	1	3	4	0	0	9	1	5	2	3	3	3	0
1700052N19Rik	7	7	15	5	9	83	20	48	9	48	1	63	0
1700054A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054O13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055N04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	2	1	0	0	0	2	2	2	0	0	1	3	0
1700057G04Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	1	0	1	0	0	0
1700058G18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C20Rik	1	0	0	1	0	0	0	1	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	0	0	0	0	0	0	0	0	1	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	1	0	0	0	0	0	1	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065D16Rik	0	0	0	0	0	1	0	0	0	2	0	2	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065I17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	0	0	0	1	0	4	0	3	0	2	0	3	0
1700066J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	3	2	1	0	0	8	4	0	1	10	0	8	1
1700066N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069P05Rik	1	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084C01Rik	0	1	0	0	0	0	0	0	0	0	0	0	0
1700084E18Rik	1	1	0	1	0	3	1	3	0	2	1	15	0
1700084F23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700085B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	5	2	3	1	2	0	2	0
1700086O06Rik	0	1	2	0	1	44	10	29	1	35	0	35	0
1700088E04Rik	1	1	0	3	1	2	2	0	0	3	0	3	0
1700091E21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700091H14Rik	0	0	0	0	0	197	0	1	0	7	0	7	0
